■ 역대 박스오피스 (통합전산망 집계 기준),,,,,,,,,
- 조회일: 2026-06-02,,,,,,,,,
- 출처: 영화진흥위원회 통합전산망 (http://www.kobis.or.kr),,,,,,,,,
▶ 검색조건 [    영화구분: 전체   국적: 전체   지역: 전체 ],,,,,,,,,
순위,영화명,개봉일,매출액,관객수,스크린수,상영횟수,대표국적,국적,배급사
72,럭키,2016-10-13,"56,445,477,256","6,975,647","1,234","155,993",한국,한국,(주)쇼박스
73,은밀하게 위대하게,2013-06-05,"48,700,887,413","6,959,083","1,341","117,463",한국,한국,(주)쇼박스
74,범죄도시,2017-10-03,"56,322,153,349","6,880,546","1,315","149,389",한국,한국,"메가박스중앙(주) 플러스엠 엔터테인먼트,(주)키위미디어그룹"
75,곡성,2016-05-12,"55,864,308,382","6,879,989","1,485","130,332",한국,"한국,미국",이십세기폭스코리아(주)
76,화려한 휴가,2007-07-25,"44,098,824,600","6,855,433",551,"96,536",한국,한국,씨제이엔터테인먼트
77,아바타: 불과 재,2025-12-17,"78,912,610,960","6,744,610","2,582","198,466",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
78,"좋은 놈, 나쁜 놈, 이상한 놈",2008-07-17,"43,756,029,300","6,686,082",824,"93,583",한국,한국,씨제이엔터테인먼트
79,늑대소년,2012-10-31,"46,602,781,400","6,655,821",854,"109,263",한국,한국,(주)씨제이이엔엠
80,군함도,2017-07-26,"50,510,748,168","6,592,178","2,027","108,784",한국,한국,(주)씨제이이엔엠
81,미션 임파서블: 폴아웃,2018-07-25,"55,923,873,912","6,589,061","1,957","101,820",미국,미국,롯데컬처웍스(주)롯데엔터테인먼트
82,웰컴 투 동막골,2005-08-04,"40,285,363,500","6,430,103",356,"71,968",한국,한국,(주)쇼박스
83,다크 나이트 라이즈,2012-07-19,"47,910,613,000","6,428,574","1,210","84,755",미국,"미국,영국",워너브러더스 코리아(주)
84,사도,2015-09-16,"48,847,504,501","6,247,832","1,210","124,286",한국,한국,(주)쇼박스
85,아저씨,2010-08-04,"47,112,062,000","6,179,701",500,"110,055",한국,한국,씨제이엔터테인먼트
86,킹스맨 : 시크릿 에이전트,2015-02-11,"50,369,009,795","6,129,681",728,"139,988",미국,"미국,영국",이십세기폭스코리아(주)
87,미션 임파서블: 로그네이션,2015-07-30,"48,547,353,607","6,126,488","1,202","89,683",미국,미국,롯데쇼핑㈜롯데엔터테인먼트
88,미녀는 괴로워,2006-12-14,"36,258,492,900","6,074,814",415,"86,962",한국,한국,(주)쇼박스
89,전우치,2009-12-23,"44,093,417,200","6,065,505",612,"102,348",한국,한국,씨제이엔터테인먼트
90,연평해전,2015-06-24,"45,575,370,830","6,046,139","1,013","114,501",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
91,인셉션,2010-07-21,"45,149,690,940","6,014,915",531,"93,242",미국,미국,"(주)디스테이션,워너브러더스 코리아(주)"
92,레미제라블,2012-12-19,"43,259,985,554","5,945,987",696,"85,825",미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
93,닥터 스트레인지: 대혼돈의 멀티버스,2022-05-04,"62,648,728,870","5,884,587","2,691","211,097",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
94,극장판 귀멸의 칼날: 무한성편,2025-08-22,"62,863,628,250","5,814,616","2,298","209,035",일본,일본,(주)씨제이이엔엠
95,캡틴 마블,2019-03-06,"51,507,488,723","5,802,810","2,100","186,382",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
96,타짜,2006-09-28,"36,259,534,300","5,692,238",492,"77,607",한국,한국,씨제이엔터테인먼트
97,쥬라기 월드: 폴른 킹덤,2018-06-06,"49,770,711,037","5,661,128","1,972","144,779",미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
98,청년경찰,2017-08-09,"44,382,020,516","5,653,444","1,102","118,547",한국,한국,롯데쇼핑㈜롯데엔터테인먼트
99,좀비딸,2025-07-30,"53,151,165,990","5,641,780","1,598","188,879",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
100,숨바꼭질,2013-08-14,"39,602,995,500","5,604,106",779,"88,066",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
101,덕혜옹주,2016-08-03,"44,397,248,609","5,599,943",964,"97,322",한국,한국,롯데쇼핑㈜롯데엔터테인먼트
102,스즈메의 문단속,2023-03-08,"57,338,491,841","5,593,118","1,572","245,903",일본,일본,(주)쇼박스
103,더 테러 라이브,2013-07-31,"39,870,954,381","5,584,295",809,"93,489",한국,한국,롯데쇼핑㈜롯데엔터테인먼트
104,쥬라기 월드,2015-06-11,"47,804,159,826","5,547,463","1,290","119,248",미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
105,감시자들,2013-07-03,"39,389,732,679","5,509,019",949,"100,349",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
106,앤트맨과 와스프,2018-07-04,"47,470,638,985","5,448,357","1,775","148,269",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
107,닥터 스트레인지,2016-10-26,"47,490,572,396","5,447,269","1,503","162,879",미국,미국,월트디즈니컴퍼니코리아(주)
108,검은 사제들,2015-11-05,"42,414,560,592","5,443,366","1,109","131,180",한국,한국,(주)씨제이이엔엠
109,안시성,2018-09-19,"46,344,120,526","5,441,279","1,540","110,465",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
110,의형제,2010-02-04,"40,154,381,000","5,416,923",569,"118,251",한국,한국,(주)쇼박스
111,블랙 팬서,2018-02-14,"45,896,080,357","5,400,241","1,620","119,239",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
112,2012,2009-11-12,"38,941,723,000","5,397,597",856,"89,309",미국,미국,한국소니픽쳐스릴리징브에나비스타영화㈜
113,더 킹,2017-01-18,"43,494,687,535","5,318,202","1,310","107,989",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
114,완득이,2011-10-20,"38,534,841,000","5,311,497",629,"117,821",한국,한국,(주)씨제이이엔엠
115,트랜스포머: 사라진 시대,2014-06-25,"44,012,752,845","5,295,836","1,602","107,875",미국,미국,(주)씨제이이엔엠
116,완벽한 타인,2018-10-31,"44,356,976,474","5,294,154","1,325","143,075",한국,한국,롯데컬처웍스(주)롯데엔터테인먼트
117,조커,2019-10-02,"45,778,663,951","5,284,344","1,418","151,193",미국,미국,워너브러더스 코리아(주)
118,F1 더 무비,2025-06-25,"55,580,538,830","5,261,209","1,665","198,243",미국,미국,워너브러더스 코리아(주)
119,월드 워 Z,2013-06-20,"38,589,794,000","5,244,336",964,"102,831",미국,미국,롯데쇼핑㈜롯데엔터테인먼트
120,타워,2012-12-25,"37,656,008,000","5,181,244",638,"81,151",한국,한국,(주)씨제이이엔엠
121,미녀와 야수,2017-03-16,"42,256,976,659","5,156,757","1,627","142,750",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
